Decimal,Niveau,Kondital
19.8,"19,12",79.184964
19.86666667,"19,13",79.44079289
19.93333333,"19,14",79.69680489
20,"19,15",79.953
20.06666667,"20,01",80.20937822
20.13333333,"20,02",80.46593956
20.2,"20,03",80.722684
20.26666667,"20,04",80.97961156
20.33333333,"20,05",81.23672222
20.4,"20,06",81.494016
20.46666667,"20,07",81.75149289
20.53333333,"20,08",82.00915289
20.6,"20,09",82.266996
20.66666667,"20,10",82.52502222
20.73333333,"20,11",82.78323156
20.8,"20,12",83.041624
20.86666667,"20,13",83.30019956
20.93333333,"20,14",83.55895822
21,"20,15",83.8179
21.0625,"21,01",84.06082422
21.125,"21,02",84.30390938
21.1875,"21,03",84.54715547
21.25,"21,04",84.7905625
21.3125,"21,05",85.03413047
21.375,"21,06",85.27785938
21.4375,"21,07",85.52174922
21.5,"21,08",85.7658
21.5625,"21,09",86.01001172
21.625,"21,10",86.25438438
21.6875,"21,11",86.49891797
21.75,"21,12",86.7436125
21.8125,"21,13",86.98846797
21.875,"21,14",87.23348438
21.9375,"21,15",87.47866172
22,"21,16",87.724
