id,timestamp,event,team,venue,team_home,team_away,period,perspective,strength,p1_no,p1_name,p2_no,p2_name,g_no,goalie_name,home_line,home_players,home_players_names,away_line,away_players,away_players_names,x_m,y_m,game_id,game_date,competition,video_url,video_time,aim_x,aim_y
1,2025-11-08T09:01:52.564Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,11,Noah Marcussen,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,14.137,-3.778,1,2025-11-08,Træningskamp,,,,
2,2025-11-08T09:04:41.693Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v4,17,Viggo Skrubbeltang,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,6.114,4.862,1,2025-11-08,Træningskamp,,,,
3,2025-11-08T09:05:21.169Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v4,15,Sander Staunsholm,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,4.031,-0.345,1,2025-11-08,Træningskamp,,,,
4,2025-11-08T09:05:48.190Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v4,16,Frederik Barrett,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,10.318,6.482,1,2025-11-08,Træningskamp,,,,
5,2025-11-08T09:06:16.421Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,17,Viggo Skrubbeltang,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,9.315,7.485,1,2025-11-08,Træningskamp,,,,
6,2025-11-08T09:08:40.172Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,17,Viggo Skrubbeltang,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,7.927,4.476,1,2025-11-08,Træningskamp,,,,
7,2025-11-08T09:14:26.657Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,19,Marcus Maajen,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,8.852,-6.401,1,2025-11-08,Træningskamp,,,,
8,2025-11-08T09:17:45.040Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,17,Viggo Skrubbeltang,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,15.718,1.738,1,2025-11-08,Træningskamp,,,,
9,2025-11-08T09:17:56.392Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,15,Sander Staunsholm,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,2.989,0.658,1,2025-11-08,Træningskamp,,,,
10,2025-11-08T09:18:04.620Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,22,Xander Risom,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,11.784,-2.544,1,2025-11-08,Træningskamp,,,,
11,2025-11-08T09:19:43.037Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,19,Marcus Maajen,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,3.414,4.669,1,2025-11-08,Træningskamp,,,,
12,2025-11-08T09:20:55.065Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,14,Victor Patay,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,9.354,4.361,1,2025-11-08,Træningskamp,,,,
13,2025-11-08T09:23:09.135Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,15,Sander Staunsholm,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,7.387,7.948,1,2025-11-08,Træningskamp,,,,
14,2025-11-08T09:24:12.443Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,19,Marcus Maajen,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,2.565,-0.307,1,2025-11-08,Træningskamp,,,,
15,2025-11-08T09:26:10.187Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,16,Frederik Barrett,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,8.968,5.402,1,2025-11-08,Træningskamp,,,,
16,2025-11-08T09:27:48.680Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,22,Xander Risom,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,13.905,-2.313,1,2025-11-08,Træningskamp,,,,
17,2025-11-08T09:28:16.776Z,Goal,U17 Danmark,Home,U17 Danmark,Malmö Akademi,1,home,5v5,16,Frederik Barrett,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,11.591,3.589,1,2025-11-08,Træningskamp,,,,
18,2025-11-08T09:40:53.671Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,10,Jeppe Birkholt,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,8.891,6.405,1,2025-11-08,Træningskamp,,,,
19,2025-11-08T09:41:27.195Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,18,Elias Slott,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,5.458,1.506,1,2025-11-08,Træningskamp,,,,
20,2025-11-08T09:47:59.094Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v4,19,Marcus Maajen,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,9.740,-5.051,1,2025-11-08,Træningskamp,,,,
21,2025-11-08T09:48:15.070Z,Goal,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v4,19,Marcus Maajen,15,Sander Staunsholm,1,Keeper,,1,Andreas Harlis,,1,Keeper,9.662,6.482,1,2025-11-08,Træningskamp,,,,
22,2025-11-08T09:52:50.945Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,19,Marcus Maajen,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,4.417,-1.194,1,2025-11-08,Træningskamp,,,,
23,2025-11-08T09:56:14.491Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,16,Frederik Barrett,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,12.247,1.699,1,2025-11-08,Træningskamp,,,,
24,2025-11-08T09:56:51.645Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,11,Noah Marcussen,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,10.588,0.156,1,2025-11-08,Træningskamp,,,,
25,2025-11-08T10:01:18.842Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,15,Sander Staunsholm,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,3.722,-2.698,1,2025-11-08,Træningskamp,,,,
26,2025-11-08T10:03:40.655Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,10,Jeppe Birkholt,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,9.431,0.426,1,2025-11-08,Træningskamp,,,,
27,2025-11-08T10:06:41.528Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,2,home,5v5,16,Frederik Barrett,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,5.612,3.435,1,2025-11-08,Træningskamp,,,,
28,2025-11-08T10:18:49.047Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,15,Sander Staunsholm,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,6.731,0.426,1,2025-11-08,Træningskamp,,,,
29,2025-11-08T10:20:50.120Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,14,Victor Patay,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,6.962,-1.117,1,2025-11-08,Træningskamp,,,,
30,2025-11-08T10:22:30.087Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,16,Frederik Barrett,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,7.502,-4.357,1,2025-11-08,Træningskamp,,,,
31,2025-11-08T10:24:06.802Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,10,Jeppe Birkholt,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,7.387,3.088,1,2025-11-08,Træningskamp,,,,
32,2025-11-08T10:26:12.833Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,21,Silas Ovesen,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,7.155,-2.698,1,2025-11-08,Træningskamp,,,,
33,2025-11-08T10:26:29.081Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,17,Viggo Skrubbeltang,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,14.098,1.506,1,2025-11-08,Træningskamp,,,,
34,2025-11-08T10:26:45.660Z,Block,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,17,Viggo Skrubbeltang,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,10.048,5.633,1,2025-11-08,Træningskamp,,,,
35,2025-11-08T10:33:18.436Z,Shot,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,19,Marcus Maajen,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,8.158,-6.054,1,2025-11-08,Træningskamp,,,,
36,2025-11-08T10:34:18.229Z,Goal,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,10,Jeppe Birkholt,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,4.957,1.043,1,2025-11-08,Træningskamp,,,,
37,2025-11-08T10:42:31.081Z,Miss,U17 Danmark,Home,U17 Danmark,Malmö Akademi,3,home,5v5,17,Viggo Skrubbeltang,,,1,Keeper,,1,Andreas Harlis,,1,Keeper,7.425,-2.775,1,2025-11-08,Træningskamp,,,,
