kampId,side,rowIndex,role,number,name,born,status
35308,HOME,13,,52,William Flindt,,closed
35308,HOME,14,,55,Magnus Bonavent Rasmussen,,closed
35308,HOME,15,,86,Casper Breitenbach,,closed
35308,HOME,16,,90,Malthe Daae Christensen,,closed
35308,HOME,17,,92,Frederik Kobberup,,closed
35308,HOME,18,,96,Stefan Ohrt,,closed
35308,HOME,19,,99,Simon Kristensen,,closed
35308,AWAY,0,,2,Jakob Ohlsson,,closed
35308,AWAY,1,,3,Jon Precht-Sparre,,closed
35308,AWAY,2,,8,Patrick Falkenberg Møller,,closed
35308,AWAY,3,,15,Jacob Hansen,,closed
35308,AWAY,4,,16,Rasmus Bømervang,,closed
35308,AWAY,5,,17,Jannik L. Dalkvist,,closed
35308,AWAY,6,,24,Jonas Hvid Nielsen,,closed
35308,AWAY,7,,28,Victor Toftebjerg,,closed
35308,AWAY,8,,31,Mathias S. Madsen,,closed
35308,AWAY,9,,77,Andreas Kleczewski,,closed
35308,AWAY,10,,79,Jacob Stenkilde,,closed
35308,AWAY,11,,81,Otto Kjeld Bjørklund Jørgensen,,closed
35308,AWAY,12,,87,Oliver Madsen,,closed
35308,AWAY,13,,88,Magnus Møller,,closed
35308,AWAY,14,,89,Rasmus Schjerlund Nielsen,,closed
35950,HOME,0,,1,Mathias Saaby Hjelm,,closed
35950,HOME,1,,3,Emil Winther Pedersen,,closed
35950,HOME,2,,4,Viktor Gade,,closed
35950,HOME,3,,5,Nikolaj Fischer Hørby Jensen,,closed
35950,HOME,4,,6,Niklas Juul Jensen,,closed
35950,HOME,5,,7,Søren Bjerregaard,,closed
35950,HOME,6,,17,Anders Tengnagel,,closed
35950,HOME,7,,22,Simon Erlandsen,,closed
35950,HOME,8,,23,Dennis Torp,,closed
35950,HOME,9,,27,Rasmus Bengtsson,,closed
35950,HOME,10,,60,Rasmus Overgaard,,closed
35950,HOME,11,,68,Mikkel Hansen,,closed
35950,HOME,12,,69,Mathias Hansen,,closed
35950,HOME,13,,71,Magnus Nyeng Jensen,,closed
35950,HOME,14,,81,Kasper Jensen,,closed
35950,HOME,15,,88,Mads Larsen,,closed
35950,HOME,16,,91,Niklas Andersen,,closed
35950,HOME,17,,92,Nicolai Flyvholm Pedersen,,closed
35950,HOME,18,,95,Frederik Lentz,,closed
35950,HOME,19,,98,Rasmus Larsen,,closed
35950,AWAY,0,,6,Jonas Emil Kristensen,,closed
35950,AWAY,1,,8,Vinoth Sivapalan,,closed
35950,AWAY,2,,14,Uffe Lykke Kjær Simonsen,,closed
35950,AWAY,3,,15,Nicklas Hedemand,,closed
35950,AWAY,4,,55,Oskar Bendsen,,closed
35950,AWAY,5,,62,Gustav Johannes Chatterton,,closed
35950,AWAY,6,,66,Anton Bendsen,,closed
35950,AWAY,7,,77,Simon Lysdahl Sørensen,,closed
35950,AWAY,8,,88,Vitus Kuskegaard,,closed
35950,AWAY,9,,90,Jonas Palner Jensen,,closed
35307,HOME,0,,1,Andreas Nielsen Kielsen,,closed
35307,HOME,1,,2,Søren Jønsson,,closed
35307,HOME,2,,8,Gustav Damgaard Larsen,,closed
35307,HOME,3,,10,Jakub Lyskawa,,closed
35307,HOME,4,,13,Viktor Heinrichas,,closed
35307,HOME,5,,17,Valdemar Jarløv,,closed
35307,HOME,6,,18,Julius Kjærgaard,,closed
35307,HOME,7,,22,Kasper Kofoed,,closed
35307,HOME,8,,25,Nicolai Dahl Christiansen,,closed
35307,HOME,9,,27,Alexander Tritsaris,,closed
35307,HOME,10,,30,Sophus Gormsen,,closed
35307,HOME,11,,48,Christian Espensen,,closed
35307,HOME,12,,71,Emils Ziverts,,closed
35307,HOME,13,,89,Kristers Kuznecovs,,closed
35307,HOME,14,,98,Victor Hansen,,closed
35307,AWAY,0,,7,Jannick Strikert,,closed
35307,AWAY,1,,13,Michael Møller,,closed
35307,AWAY,2,,14,Thomas Hviid,,closed
35307,AWAY,3,,22,Peter Steen Jensen,,closed
35307,AWAY,4,,28,Ole Tougaard,,closed
35307,AWAY,5,,49,Kristian Kirk,,closed
35307,AWAY,6,,59,Kim Thobiassen,,closed
35307,AWAY,7,,66,Jeppe Trier,,closed
35307,AWAY,8,,81,Jesper Schow,,closed
35307,AWAY,9,,92,Emil Andersson,,closed
35307,AWAY,10,,97,Mads Voldum,,closed
35310,HOME,0,,7,Jannick Strikert,,closed
35310,HOME,1,,10,Nikolaj Parbo,,closed
35310,HOME,2,,13,Michael Møller,,closed
35310,HOME,3,,14,Thomas Hviid,,closed
35310,HOME,4,,14,Thomas Hviid,,closed
35310,HOME,5,,22,Peter Steen Jensen,,closed
35310,HOME,6,,28,Ole Tougaard,,closed
35310,HOME,7,,44,Philippe Nielsen,,closed
35310,HOME,8,,49,Kristian Kirk,,closed
35310,HOME,9,,55,Mads Voldum,,closed
35310,HOME,10,,59,Kim Thobiassen,,closed
35310,HOME,11,,66,Jeppe Trier,,closed
35310,HOME,12,,71,Ondrej Ceska,,closed
35310,HOME,13,,72,Jesper Bjørneboe,,closed
35310,HOME,14,,81,Jesper Schow,,closed
35310,AWAY,0,,2,Jakob Ohlsson,,closed
35310,AWAY,1,,3,Jon Precht-Sparre,,closed
35310,AWAY,2,,8,Patrick Falkenberg Møller,,closed
35310,AWAY,3,,15,Jacob Hansen,,closed
35310,AWAY,4,,16,Rasmus Bømervang,,closed
35310,AWAY,5,,17,Jannik L. Dalkvist,,closed
35310,AWAY,6,,19,Oliver Ruud,,closed
35310,AWAY,7,,24,Jonas Hvid Nielsen,,closed
35310,AWAY,8,,28,Victor Toftebjerg,,closed
35310,AWAY,9,,31,Mathias S. Madsen,,closed
35310,AWAY,10,,53,August Lunddahl Mathiassen,,closed
35310,AWAY,11,,77,Andreas Kleczewski,,closed
35310,AWAY,12,,79,Jacob Stenkilde,,closed
35310,AWAY,13,,81,Otto Kjeld Bjørklund Jørgensen,,closed
35310,AWAY,14,,87,Oliver Madsen,,closed
35310,AWAY,15,,88,Magnus Møller,,closed
35310,AWAY,16,,89,Rasmus Schjerlund Nielsen,,closed
35954,HOME,0,,1,Mike Grunnet Bing,,closed
35954,HOME,1,,6,Nicklas Dahl,,closed
35954,HOME,2,,8,Nicklas Christoffersen,,closed
35954,HOME,3,,10,Frederik Bøcker Jensen,,closed
35954,HOME,4,,12,Esben Nedergaard Kruhøffer,,closed
35954,HOME,5,,13,Jesper Brask Pedersen,,closed
35954,HOME,6,,15,Jannick Christoffersen,,closed
35954,HOME,7,,18,Casper Svane,,closed
35954,HOME,8,,21,Jesper Lykke,,closed
35954,HOME,9,,31,Rasmus Rasmussen,,closed
35954,HOME,10,,61,Sebastian Skovmand,,closed
35954,HOME,11,,73,Andrej Nociar,,closed
35954,HOME,12,,84,Morten Broe,,closed
35954,HOME,13,,94,Martin Kristoffersen,,closed
35954,HOME,14,,97,Casper Beck Nielsen,,closed
35954,AWAY,0,,6,Jonas Emil Kristensen,,closed
35954,AWAY,1,,8,Vinoth Sivapalan,,closed
35954,AWAY,2,,9,Victor Overholt,,closed
35954,AWAY,3,,15,Nicklas Hedemand,,closed
