KampNr,Kamp,Dato,KampID,Sæson,Stadie,Periode,teamid,number,Event,Nummer,Spiller,Tid
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,3,29510,1,Goal,10,Nikolaj Parbo,3441
40000935,Vanløse Floorball - Hafnia FC,44813,35305,20222023,Grundspil,3,29509,201,Penalty,91,Lucas Sødergaard,3538
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,1,29507,0,Assist,98,Mathias Mortensen,951
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,1,29507,1,Goal,90,Nicolai Børner,951
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,1,29512,201,Penalty,8,Patrick Falkenberg Møller,1073
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29507,0,Assist,74,Nicholas MacCabe,1220
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29507,1,Goal,98,Mathias Mortensen,1220
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29512,0,Assist,2,Jakob Ohlsson,1276
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29512,1,Goal,88,Magnus Møller,1276
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29507,1,Goal,90,Nicolai Børner,1409
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29507,210,Penalty,6,Rasmus Rask Kjær Poulsen,1544
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29507,0,Assist,32,Jonas Gylling Nielsen,1674
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29507,1,Goal,87,Milan Adam,1674
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29507,502,Penalty,98,Mathias Mortensen,1785
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29512,208,Penalty,16,Rasmus Bømervang,1785
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29507,0,Assist,32,Jonas Gylling Nielsen,1905
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29507,1,Goal,87,Milan Adam,1905
40000936,Benløse IF - Rødovre FC,44811,35306,20222023,Grundspil,2,29512,201,Penalty,77,Andreas Kleczewski,2314
